City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
344,australind,40,CA,1681010146,28,58.8053,-122.7002,51.39,4.61
345,australind,40,ID,1681010173,84,-8.65,115.2167,85.71,11.5
346,australind,0,GT,1681010446,53,14.7623,-90.9947,54.9,4.7
347,australind,23,TD,1681010446,12,14.5333,20.9167,83.17,9.46
348,australind,100,RU,1681010446,94,69.3833,178.4167,-0.71,20.69
349,australind,5,NP,1681010446,39,29.2747,82.1838,56.64,2.33
350,australind,100,CA,1681010447,63,50.0501,-110.6683,45.03,14.97
351,australind,0,US,1681010180,38,36.3728,-94.2088,59.22,6.91
352,australind,80,PH,1681010447,67,13.7796,124.39,83.3,13.27
353,australind,20,CV,1681010447,73,14.9215,-23.5087,70.34,19.57
354,australind,75,BR,1681010448,100,-10.9089,-37.0386,75.22,2.3
355,australind,91,RU,1681010448,86,66.0,111.5,-7.28,8.55
356,australind,8,AU,1681010448,25,-24.4167,150.5,81.59,14.67
357,australind,0,US,1681010296,21,36.7281,-108.2187,56.08,5.75
358,australind,100,BR,1681010449,93,-21.6403,-41.0511,73.54,11.05
359,australind,100,RU,1681010449,95,57.8,158.6667,30.63,9.66
360,australind,100,IS,1681010449,76,64.8945,-23.7142,42.82,19.04
361,australind,100,BO,1681010449,98,-10.9833,-66.1,72.18,2.68
362,australind,0,US,1681010450,79,36.6177,-121.9166,56.88,4.61
363,australind,96,PG,1681010450,86,-2.5744,150.7967,79.81,13.91
364,australind,54,GB,1681010450,92,51.3813,1.3862,44.69,1.01
365,australind,100,CA,1681010450,52,54.0524,-128.6534,43.92,4.32
366,australind,20,CA,1681010451,70,63.7506,-68.5145,-11.47,11.5
367,australind,26,AU,1681010451,43,-31.95,141.4333,65.34,12.24
368,australind,100,MR,1681010451,16,20.5022,-10.0711,77.74,4.52
369,australind,59,AU,1681010451,31,-20.3167,118.5667,95.05,9.22
370,australind,99,KE,1681010452,79,0.267,36.5389,59.49,5.84
371,australind,100,CM,1681010452,88,5.5079,10.6356,68.23,2.46
372,australind,26,AU,1681010452,43,-34.5833,150.8552,71.19,8.99
373,australind,0,FR,1681010452,76,48.5833,-4.0,51.85,9.22
374,australind,0,CN,1681010452,38,43.801,87.6005,52.75,2.24
375,australind,96,PG,1681010452,85,-2.0226,147.2712,80.65,8.61
376,australind,85,IN,1681010453,34,20.2719,81.4931,86.7,2.33
377,australind,1,CN,1681010453,15,47.5167,122.8833,61.0,8.28
378,australind,98,NO,1681010453,62,60.5672,6.9187,38.3,4.68
379,australind,1,AU,1681010454,49,-32.7167,152.15,73.99,15.99
